seed,configuration,recovered_cases,recovered_minor,net_recovered_minor,intervention_cost_minor,contacts,attempts,latency_hours,fatigue_cost_minor,waits,cases,recovery_rate,average_latency_hours
101,full_nba_agent_v1,303,54800038,54678168,121870,351,284,20397,38852,115,750,0.404,27.196
101,without_customer_context,326,58679018,58525423,153595,450,293,18527,43855,7,750,0.43466667,24.702667
101,without_merchant_context,305,55062513,54940908,121605,347,282,20443,38306,121,750,0.40666667,27.257333
101,without_natural_recovery_model,298,54435759,54327759,108000,329,264,21695,35243,157,750,0.39733333,28.926667
101,without_fatigue_cost,301,54484935,54362795,122140,357,282,20415,39555,111,750,0.40133333,27.22
101,without_non_retry_actions,247,43529992,43517077,12915,0,369,26930,0,381,750,0.32933333,35.906667
101,without_ptp,303,54800038,54678168,121870,351,284,20397,38852,115,750,0.404,27.196
101,without_economic_gate,303,54800038,54678168,121870,351,284,20397,38852,115,750,0.404,27.196
101,without_policy_aware_optimization,315,55604660,55462590,142070,412,267,19790,44336,71,750,0.42,26.386667
101,without_calibration,304,54904151,54811631,92520,351,285,20632,37685,114,750,0.40533333,27.509333
202,full_nba_agent_v1,332,54489729,54340474,149255,346,299,20754,37534,105,750,0.44266667,27.672
202,without_customer_context,358,60689972,60524037,165935,436,310,17809,49182,4,750,0.47733333,23.745333
202,without_merchant_context,334,54633819,54484724,149095,344,298,20902,37865,108,750,0.44533333,27.869333
202,without_natural_recovery_model,324,55477577,55345282,132295,315,289,21871,37782,146,750,0.432,29.161333
202,without_fatigue_cost,331,54338875,54189425,149450,350,298,20739,38282,102,750,0.44133333,27.652
202,without_non_retry_actions,243,38940426,38926566,13860,0,396,27894,0,354,750,0.324,37.192
202,without_ptp,332,54489729,54340474,149255,346,299,20754,37534,105,750,0.44266667,27.672
202,without_economic_gate,332,54489729,54340474,149255,346,299,20754,37534,105,750,0.44266667,27.672
202,without_policy_aware_optimization,350,57564369,57412734,151635,399,290,19371,43309,61,750,0.46666667,25.828
202,without_calibration,328,53218334,53092334,126000,347,304,20645,37554,99,750,0.43733333,27.526667
303,full_nba_agent_v1,331,53543522,53397772,145750,351,276,21539,35813,123,750,0.44133333,28.718667
303,without_customer_context,353,55786630,55611505,175125,457,288,18604,46598,5,750,0.47066667,24.805333
303,without_merchant_context,333,53855933,53710263,145670,350,276,21727,35585,124,750,0.444,28.969333
303,without_natural_recovery_model,324,52410495,52282490,128005,309,261,22814,30949,180,750,0.432,30.418667
303,without_fatigue_cost,331,53543522,53397417,146105,358,275,21248,36435,117,750,0.44133333,28.330667
303,without_non_retry_actions,247,42007810,41994475,13335,0,381,26901,0,369,750,0.32933333,35.868
303,without_ptp,331,53543522,53397772,145750,351,276,21539,35813,123,750,0.44133333,28.718667
303,without_economic_gate,331,53543522,53397772,145750,351,276,21539,35813,123,750,0.44133333,28.718667
303,without_policy_aware_optimization,343,54600216,54439776,160440,417,263,20414,42340,70,750,0.45733333,27.218667
303,without_calibration,327,53190472,53091067,99405,358,283,20768,36384,109,750,0.436,27.690667
404,full_nba_agent_v1,319,52787369,52632404,154965,376,252,21623,38547,122,750,0.42533333,28.830667
404,without_customer_context,333,53355071,53162091,192980,483,261,18746,50548,6,750,0.444,24.994667
404,without_merchant_context,322,52908390,52756750,151640,370,251,21949,38302,129,750,0.42933333,29.265333
404,without_natural_recovery_model,318,52740447,52614452,125995,345,236,22904,34116,169,750,0.424,30.538667
404,without_fatigue_cost,317,52680130,52524895,155235,382,251,21672,38909,117,750,0.42266667,28.896
404,without_non_retry_actions,250,41173393,41161458,11935,0,341,28604,0,409,750,0.33333333,38.138667
404,without_ptp,319,52787369,52632404,154965,376,252,21623,38547,122,750,0.42533333,28.830667
404,without_economic_gate,319,52787369,52632404,154965,376,252,21623,38547,122,750,0.42533333,28.830667
404,without_policy_aware_optimization,334,53665906,53490551,175355,439,238,20743,46799,73,750,0.44533333,27.657333
404,without_calibration,319,53284388,53178748,105640,383,261,21424,38806,106,750,0.42533333,28.565333
505,full_nba_agent_v1,304,54491962,54367217,124745,361,257,21454,34693,132,750,0.40533333,28.605333
505,without_customer_context,309,55345437,55188052,157385,467,276,18402,43303,7,750,0.412,24.536
505,without_merchant_context,304,54457598,54335708,121890,362,258,21420,34954,130,750,0.40533333,28.56
505,without_natural_recovery_model,293,52163547,52047097,116450,322,252,22405,28759,176,750,0.39066667,29.873333
505,without_fatigue_cost,307,54792145,54667130,125015,366,257,21358,35120,127,750,0.40933333,28.477333
505,without_non_retry_actions,208,38289789,38277399,12390,0,354,28847,0,396,750,0.27733333,38.462667
505,without_ptp,304,54491962,54367217,124745,361,257,21454,34693,132,750,0.40533333,28.605333
505,without_economic_gate,304,54491962,54367217,124745,361,257,21454,34693,132,750,0.40533333,28.605333
505,without_policy_aware_optimization,310,55381346,55242126,139220,414,256,20218,39696,80,750,0.41333333,26.957333
505,without_calibration,303,53626317,53527217,99100,368,270,21206,35379,112,750,0.404,28.274667
