seed,case_id,ablation,delta_recovered_cases,delta_recovered_minor,delta_net_recovered_minor,delta_intervention_cost_minor,delta_contacts,delta_attempts,delta_latency_hours,delta_fatigue_cost_minor,delta_waits
101,sim-e3e47b99-3d51-a25b-991c20ad8ffe,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-aaadeedb-9c59-34d8-087e218576f7,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-2860fa19-037f-2a45-26c313aafbf0,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-df9ebcbf-f1fd-bad8-8846e5e8216c,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-3a21b51e-5816-4c86-52328ba8f007,without_customer_context,0,0,35,-35,0,-1,23,0,1
101,sim-bedd8350-56e2-ae76-66ee2827a623,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-37276131-ddf3-47b6-f24299fbc6a3,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-8a69a77e-93d3-64af-dda9cc22b12b,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-6d482ad9-cbd6-3ba6-da25ec78d709,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-339c58b2-a84d-577d-f717d2faac99,without_customer_context,0,0,55,-55,-1,0,4,-8,1
101,sim-215bf634-6207-2591-132f12528cca,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-36505310-fa08-5b22-61bff208ee0c,without_customer_context,0,0,45,-45,-1,0,80,-3,1
101,sim-a4245015-825a-4bfd-92560ba2bd22,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-2a818328-b716-f048-0d707b3173a4,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-25999524-417a-8df9-096d14b4b578,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-925990c6-01fd-e3c6-8f88437ca1cd,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-40cb5675-5708-8296-f925aabd56b7,without_customer_context,0,0,0,0,0,0,0,0,0
