scenario,executor_invoked,external_effect_count,expected_result,pass,suppression_reason
valid_control,true,1,APPROVE,true,
recovered_case,false,0,DENY_ESCALATE_OR_STOP,true,STALE_OR_RECOVERED
cancelled_subscription,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_STOP
expired_recovery_window,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_STOP
stale_scheduled_case,false,0,DENY_ESCALATE_OR_STOP,true,STALE_OR_RECOVERED
stale_decision,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
economic_gate_blocked,false,0,DENY_ESCALATE_OR_STOP,true,ECONOMIC_GATE_BLOCKED
customer_opt_out,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
maximum_contacts_day,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
maximum_contacts_week,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
minimum_contact_interval,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
active_promise,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
action_not_allowed,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
channel_not_allowed,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
channel_unavailable,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
quiet_hours,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
mandate_revoked,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
invalid_payment_method,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
maximum_retries,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
terminal_case,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_STOP
high_value_approval,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_ESCALATE
low_confidence,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_ESCALATE
maximum_incentive,false,0,DENY_ESCALATE_OR_STOP,true,POLICY_RECHECK_DENY
